# Region type : patch rotor
# Faces         : 156624
# Area          : 1.09891587e-02
# Scale factor  : 1.00000000e+00
# Time          	min(p)
3760            	-1.75891672e+02
3770            	-1.79428305e+02
3780            	-1.79153010e+02
3790            	-1.73830669e+02
3800            	-1.67084427e+02
3810            	-1.64888747e+02
3820            	-1.67669180e+02
3830            	-1.72792516e+02
3840            	-1.77438213e+02
3850            	-1.78817799e+02
3860            	-1.76413350e+02
3870            	-1.80433225e+02
3880            	-2.24658343e+02
3890            	-2.34813296e+02
3900            	-1.99026308e+02
3910            	-1.58329565e+02
3920            	-1.61972004e+02
3930            	-1.66332203e+02
3940            	-1.70041772e+02
3950            	-1.72713356e+02
3960            	-1.74581846e+02
3970            	-1.75548965e+02
3980            	-1.77095264e+02
3990            	-1.77674048e+02
4000            	-1.76078632e+02
4010            	-1.74176815e+02
4020            	-1.72396667e+02
4030            	-1.71158207e+02
4040            	-1.70200543e+02
4050            	-1.70680577e+02
4060            	-1.71601011e+02
4070            	-1.70524827e+02
4080            	-1.66859037e+02
4090            	-1.63412880e+02
4100            	-1.62631752e+02
4110            	-1.63230414e+02
4120            	-1.64118659e+02
4130            	-1.64589160e+02
4140            	-1.65685077e+02
4150            	-2.04914246e+02
4160            	-2.43388452e+02
4170            	-2.02448946e+02
4180            	-1.52951169e+02
4190            	-1.54251420e+02
4200            	-1.59274239e+02
4210            	-1.65073417e+02
4220            	-1.70038036e+02
4230            	-1.73753302e+02
4240            	-1.77931204e+02
4250            	-1.80791121e+02
4260            	-1.81229666e+02
4270            	-1.80152804e+02
4280            	-1.78063147e+02
4290            	-1.74883581e+02
4300            	-1.71527805e+02
4310            	-1.68237183e+02
4320            	-1.65901134e+02
4330            	-1.64912641e+02
4340            	-1.65579018e+02
4350            	-1.68793962e+02
4360            	-1.72973901e+02
4370            	-1.73267493e+02
4380            	-1.69177366e+02
4390            	-1.67273884e+02
4400            	-1.66998142e+02
4410            	-1.66917890e+02
4420            	-1.68686558e+02
4430            	-1.70725092e+02
4440            	-1.71073953e+02
4450            	-1.69319734e+02
4460            	-1.66057044e+02
