# Prototype 1B-14 loop sections (design B) - SYNTHETIC, GENERATED BY scripts/make_geometry.py
# Design frame: mm, axis +z, omega +z, jet +z. Generator line at 50% chord.
# s = path length from the leading root; beta = face pitch angle.
k,s_mm,r_mm,theta_deg,z_mm,beta_deg,chord_mm,thickness_mm,t_c
91,71.8074,33.8724,50.2044,6.5511,15.3393,17.7926,3.0804,0.1662
92,72.5965,33.1754,50.8360,6.5354,15.6459,17.6552,3.0705,0.1670
93,73.3856,32.4655,51.4363,6.5156,15.9707,17.5087,3.0598,0.1677
94,74.1747,31.7438,52.0038,6.4918,16.3147,17.3530,3.0484,0.1686
95,74.9638,31.0113,52.5372,6.4644,16.6789,17.1883,3.0362,0.1695
96,75.7529,30.2693,53.0354,6.4336,17.0643,17.0147,3.0231,0.1705
97,76.5420,29.5187,53.4974,6.3996,17.4720,16.8326,3.0092,0.1715
98,77.3311,28.7607,53.9223,6.3628,17.9035,16.6423,2.9945,0.1725
99,78.1202,27.9964,54.3094,6.3232,18.3599,16.4441,2.9790,0.1737
100,78.9093,27.2266,54.6580,6.2812,18.8428,16.2385,2.9627,0.1749
101,79.6983,26.4522,54.9678,6.2369,19.3539,16.0258,2.9455,0.1761
102,80.4874,25.6742,55.2384,6.1905,19.8950,15.8067,2.9276,0.1774
103,81.2765,24.8932,55.4694,6.1421,20.4680,15.5814,2.9089,0.1788
104,82.0656,24.1100,55.6607,6.0918,21.0754,15.3506,2.8894,0.1802
105,82.8547,23.3252,55.8121,6.0398,21.7194,15.1148,2.8692,0.1817
106,83.6438,22.5392,55.9234,5.9861,22.4030,14.8745,2.8483,0.1832
107,84.4329,21.7525,56.0045,5.9331,23.1293,14.6301,2.8266,0.1848
108,85.2220,20.9653,56.0759,5.8860,23.9019,14.3821,2.8043,0.1864
109,86.0111,20.1776,56.1383,5.8449,24.7251,14.1309,2.7813,0.1881
110,86.8002,19.3895,56.1915,5.8098,25.6036,13.8770,2.7577,0.1899
111,87.5893,18.6011,56.2355,5.7808,26.5425,13.6208,2.7335,0.1917
112,88.3784,17.8124,56.2705,5.7577,27.5476,13.3627,2.7087,0.1935
113,89.1675,17.0235,56.2963,5.7407,28.6255,13.1031,2.6834,0.1954
114,89.9566,16.2345,56.3129,5.7298,29.7834,12.9679,2.7656,0.2038
115,90.7456,15.4455,56.3203,5.7248,31.0295,13.0880,3.0825,0.2261
116,91.5347,14.6564,56.3207,5.7246,32.3726,13.6443,3.6843,0.2610
117,92.3238,13.8673,56.3207,5.7246,33.8229,14.3750,4.4351,0.3000
118,93.1129,13.0782,56.3207,5.7246,35.3918,14.3750,4.4351,0.3000
119,93.9020,12.2891,56.3207,5.7246,37.0917,14.3750,4.4351,0.3000
120,94.6911,11.5000,56.3207,5.7246,38.9363,14.3750,4.4351,0.3000
