station,s_mm,u,x_mm,y_mm,z_mm,r_mm,theta_deg,pitch_angle_deg,P_over_D,chord_mm,section_thickness_mm,t_c
76,73.909,0.82397,27.238,-10.211,6.1562,29.089,-20.551,22.311,0.75,12.138,2.6013,0.20157
77,74.881,0.83202,26.279,-10.367,6.1909,28.25,-21.53,22.906,0.75,12.01,2.6109,0.20452
78,75.854,0.83996,25.318,-10.515,6.2212,27.415,-22.554,23.529,0.75,11.881,2.6197,0.2075
79,76.826,0.84781,24.356,-10.654,6.2474,26.584,-23.627,24.181,0.75,11.75,2.6276,0.21048
80,77.799,0.85557,23.393,-10.786,6.2695,25.759,-24.753,24.862,0.75,11.619,2.6346,0.21346
81,78.771,0.86324,22.428,-10.909,6.2878,24.941,-25.939,25.576,0.75,11.489,2.6408,0.21641
82,79.744,0.87084,21.463,-11.026,6.3022,24.129,-27.19,26.321,0.75,11.36,2.646,0.21933
83,80.716,0.87837,20.497,-11.135,6.313,23.326,-28.513,27.101,0.75,11.234,2.6504,0.22219
84,81.689,0.88583,19.529,-11.236,6.3202,22.531,-29.914,27.914,0.75,11.11,2.6539,0.22498
85,82.661,0.89324,18.562,-11.331,6.324,21.747,-31.403,28.762,0.75,10.99,2.6567,0.22769
86,83.633,0.90059,17.593,-11.42,6.3243,20.974,-32.987,29.644,0.75,10.875,2.6588,0.23031
87,84.606,0.90789,16.624,-11.501,6.3212,20.215,-34.677,30.561,0.75,10.874,2.7721,0.24078
88,85.578,0.91515,15.655,-11.576,6.3149,19.47,-36.482,31.512,0.75,11.074,3.097,0.26577
89,86.551,0.92236,14.685,-11.645,6.3054,18.741,-38.414,32.494,0.75,11.457,3.6446,0.3047
90,87.523,0.92953,13.714,-11.707,6.2927,18.031,-40.486,33.504,0.75,12.004,4.4358,0.35674
91,88.496,0.93668,12.743,-11.763,6.2769,17.343,-42.71,34.539,0.75,11.939,4.4767,0.36212
92,89.468,0.94379,11.772,-11.813,6.258,16.678,-45.1,35.592,0.75,11.849,4.4755,0.36475
93,90.441,0.95087,10.801,-11.857,6.2361,16.039,-47.669,36.657,0.75,11.769,4.4739,0.3671
94,91.413,0.95793,9.8297,-11.895,6.2112,15.431,-50.431,37.723,0.75,11.699,4.4723,0.36916
95,92.386,0.96498,8.8582,-11.927,6.1833,14.857,-53.4,38.78,0.75,11.639,4.4706,0.37092
96,93.358,0.972,7.8865,-11.954,6.1525,14.321,-56.585,39.812,0.75,11.589,4.4691,0.37238
97,94.331,0.97901,6.9149,-11.974,6.1187,13.827,-59.994,40.803,0.75,11.55,4.4678,0.37352
98,95.303,0.98601,5.9432,-11.988,6.0821,13.381,-63.63,41.735,0.75,11.522,4.4668,0.37434
99,96.276,0.99301,4.9715,-11.997,6.0425,12.986,-67.491,42.588,0.75,11.506,4.4662,0.37484
100,97.248,1,4,-12,6,12.649,-71.565,43.34,0.75,11.5,4.466,0.375
